match_id,team,player,x,y,outcome,body_part,shot_type,is_goal,is_header,distance,angle
16095,Levante UD,Emmanuel Okyere Boateng,109.2,55.2,Saved,Right Foot,Open Play,0,0,18.646179233290663,0.23222657822733137
16095,Barcelona,Thomas Vermaelen,109.6,35.5,Off T,Head,Open Play,0,1,11.331813623599716,0.5846951500017542
16095,Barcelona,Lionel Andrés Messi Cuccittini,95.6,40.7,Off T,Left Foot,Open Play,0,0,24.410038918445014,0.2975439142494389
16095,Levante UD,Rubén Rochina Naixes,91.1,56.1,Blocked,Left Foot,Open Play,0,0,33.082019285406396,0.19324999555402947
16095,Barcelona,Lionel Andrés Messi Cuccittini,94.7,50.2,Saved,Left Foot,Free Kick,0,0,27.278746305503116,0.2482119749058199
16095,Levante UD,Rubén Rochina Naixes,93.6,56.4,Blocked,Left Foot,Free Kick,0,0,31.079253530289307,0.20016309914828917
16095,Levante UD,Emmanuel Okyere Boateng,112.1,33.1,Post,Left Foot,Open Play,0,0,10.489041900955495,0.5393028493486385
16095,Levante UD,José Ángel Gómez Campaña,107.3,26.5,Blocked,Left Foot,Open Play,0,0,18.534832073693035,0.27447867886398325
16095,Barcelona,Lionel Andrés Messi Cuccittini,100.0,33.8,Blocked,Left Foot,Open Play,0,0,20.93895890439637,0.3317082058476059
16095,Barcelona,Luis Alberto Suárez Díaz,109.7,40.9,Goal,Right Foot,Open Play,1,0,10.339245620450264,0.67859266792864
16095,Levante UD,José Luis Morales Nogales,114.2,25.6,Blocked,Right Foot,Open Play,0,0,15.52417469626002,0.18441476794612074
16095,Levante UD,Erick Cathriel Cabaco Almada,112.5,37.6,Saved,Head,Open Play,0,1,7.874642849044012,0.8460456840221984
16095,Barcelona,Ivan Rakitić,90.9,57.6,Off T,Right Foot,Open Play,0,0,34.00838131990407,0.1842210938629204
16095,Barcelona,Lionel Andrés Messi Cuccittini,111.4,49.0,Goal,Right Foot,Open Play,1,0,12.448293055676345,0.41842775216141614
16095,Barcelona,Lionel Andrés Messi Cuccittini,103.6,38.4,Goal,Left Foot,Open Play,1,0,16.47786393923679,0.43532186846423476
16095,Levante UD,Antonio García Aranda,104.3,24.2,Saved,Left Foot,Open Play,0,0,22.273975846265078,0.2337181622972852
16095,Levante UD,Enis Bardhi,91.4,49.3,Off T,Left Foot,Open Play,0,0,30.07407521437691,0.23076326707989814
16095,Levante UD,José Ángel Gómez Campaña,104.7,36.0,Blocked,Left Foot,Open Play,0,0,15.814234094637651,0.44195178277963565
